sample_index,sample_id,CH4,CO,T,U_1,p
0,trajectory_000000:0,0.08712933212518692,0.22936905920505524,0.07270079106092453,0.22883902490139008,0.006856265012174845
40,trajectory_000000:40,0.09348013997077942,0.23030878603458405,0.08190744370222092,0.27292585372924805,0.006447577849030495
80,trajectory_000000:80,0.06639246642589569,0.20555980503559113,0.06517323106527328,0.22659935057163239,0.0049098483286798
120,trajectory_000000:120,0.06043720245361328,0.18983544409275055,0.05943609029054642,0.19947846233844757,0.005433759186416864
160,trajectory_000000:160,0.06593788415193558,0.18727803230285645,0.060272615402936935,0.2167961150407791,0.005473297089338303
200,trajectory_000000:200,0.06706559658050537,0.2068036049604416,0.06341613084077835,0.21423441171646118,0.0056740096770226955
241,trajectory_000000:241,0.06433968245983124,0.1833418905735016,0.05722086504101753,0.19592219591140747,0.006122490856796503
281,trajectory_000000:281,0.06309434771537781,0.17380759119987488,0.05878265202045441,0.19955576956272125,0.006264477036893368
321,trajectory_000000:321,0.06349096447229385,0.1826510727405548,0.058079175651073456,0.16525070369243622,0.005320709198713303
361,trajectory_000000:361,0.054513219743967056,0.1737026572227478,0.05619015544652939,0.18956777453422546,0.005211093928664923
401,trajectory_000000:401,0.066371850669384,0.19794371724128723,0.059894029051065445,0.2437715083360672,0.0069419266656041145
442,trajectory_000000:442,0.05883180350065231,0.16937990486621857,0.05637833848595619,0.2140532284975052,0.004818882327526808
482,trajectory_000000:482,0.09049616754055023,0.25503188371658325,0.07917755842208862,0.25532105565071106,0.005777889396995306
522,trajectory_000000:522,0.06357942521572113,0.2046792358160019,0.06466017663478851,0.2432393878698349,0.005943253170698881
562,trajectory_000000:562,0.1007712334394455,0.2845309376716614,0.10344883054494858,0.329717755317688,0.00875790510326624
602,trajectory_000000:602,0.06716995686292648,0.19230929017066956,0.05743516981601715,0.19989636540412903,0.00638178363442421
643,trajectory_000000:643,0.06947385519742966,0.17498847842216492,0.06271610409021378,0.21675680577754974,0.006205318495631218
683,trajectory_000000:683,0.071546770632267,0.2082938849925995,0.07193388044834137,0.24038641154766083,0.009478950873017311
723,trajectory_000000:723,0.09278707206249237,0.24234430491924286,0.08456139266490936,0.20460769534111023,0.007524621672928333
763,trajectory_000000:763,0.07369741797447205,0.21731464564800262,0.06599176675081253,0.19329996407032013,0.006961931940168142
803,trajectory_000000:803,0.06361754238605499,0.1946887969970703,0.058512430638074875,0.1694343090057373,0.0052000549621880054
844,trajectory_000000:844,0.07369638234376907,0.22137701511383057,0.07340144366025925,0.18524859845638275,0.006527639459818602
884,trajectory_000000:884,0.0791507363319397,0.2246122807264328,0.08050775527954102,0.22551903128623962,0.007659164257347584
924,trajectory_000000:924,0.0770743265748024,0.1804918497800827,0.06080606207251549,0.20993652939796448,0.006836249027401209
964,trajectory_000000:964,0.07184655964374542,0.23541966080665588,0.06568964570760727,0.25402939319610596,0.005513673182576895
1004,trajectory_000000:1004,0.06274882704019547,0.23778586089611053,0.07311362773180008,0.18295753002166748,0.013794123195111752
1045,trajectory_000000:1045,0.0783519521355629,0.24965877830982208,0.0877205953001976,0.26096391677856445,0.008318759500980377
